iter	Passed	Remaining
398	91609	137988
399	91916	137874
400	92250	137800
401	92581	137720
402	92853	137551
403	93147	137415
404	93234	136974
405	93530	136839
406	93815	136690
407	94071	136495
408	94366	136358
409	94449	135915
410	94771	135816
411	95019	135610
412	95076	135133
413	95352	134968
414	95666	134854
415	95831	134532
416	96107	134365
417	96423	134254
418	96753	134161
419	97037	134003
420	97338	133868
421	97621	133708
422	97903	133547
423	98186	133385
424	98509	133277
425	98550	132788
426	98862	132665
427	99136	132490
428	99425	132335
429	99694	132153
430	100030	132059
431	100364	131960
432	100667	131820
433	100948	131651
434	101249	131507
435	101311	131054
436	101588	130879
437	101892	130738
438	102162	130553
439	102490	130442
440	102745	130237
441	103000	130032
442	103307	129891
443	103574	129700
444	103863	129538
445	103991	129173
446	104041	128713
447	104345	128568
448	104404	128121
449	104704	127971
450	104979	127790
451	105284	127646
452	105558	127462
453	105816	127259
454	106066	127046
455	106329	126849
456	106598	126658
457	106923	126533
458	107189	126338
459	107504	126200
460	107798	126037
461	108091	125873
462	108400	125726
463	108651	125511
464	108974	125379
465	109262	125206
466	109510	124987
467	109770	124781
468	110025	124570
469	110304	124385
470	110567	124182
471	110836	123986
472	111120	123806
473	111428	123652
474	111728	123489
475	112016	123312
476	112315	123147
477	112605	122971
478	112888	122787
479	113177	122608
480	113263	122211
481	113543	122024
482	113860	121875
483	114152	121699
484	114458	121538
485	114726	121336
486	115067	121210
487	115398	121073
488	115671	120876
489	115957	120690
490	116252	120514
491	116514	120303
492	116807	120124
493	117110	119955
494	117391	119763
495	117682	119580
496	117998	119423
497	118297	119247
498	118573	119048
499	118896	118896
500	119206	118730
501	119495	118543
502	119773	118344
503	120057	118151
504	120357	117974
505	120640	117779
506	120926	117587
507	121222	117404
508	121482	117186
509	121771	116996
510	122049	116794
511	122338	116603
512	122584	116371
513	122895	116201
514	123207	116029
515	123535	115874
516	123831	115687
517	124094	115470
518	124155	115064
519	124431	114859
520	124693	114641
521	124969	114435
522	125289	114269
523	125612	114106
524	125868	113881
525	126149	113678
526	126461	113503
527	126754	113310
528	126886	112974
529	127174	112777
530	127507	112619
531	127769	112398
532	128051	112195
533	128374	112027
534	128688	111850
535	128963	111640
536	129259	111446
537	129559	111257
538	129839	111049
539	130133	110854
540	130483	110705
541	130765	110498
542	131064	110306
543	131353	110105
544	131658	109916
545	131943	109711
546	132226	109503
547	132512	109298
548	132800	109094
549	133057	108864
550	133357	108670
551	133666	108482
552	133964	108286
553	134274	108098
554	134546	107879
555	134826	107667
556	135165	107501
557	135469	107307
558	135744	107089
559	136033	106883
560	136341	106691
561	136640	106492
562	136921	106278
563	137240	106093
564	137567	105914
565	137849	105701
566	138101	105463
567	138408	105268
568	138716	105073
569	139009	104867
570	139309	104665
571	139607	104461
572	139905	104257
573	140196	104048
574	140468	103824
575	140774	103626
576	141063	103413
577	141379	103221
578	141652	102997
579	141948	102789
580	142124	102496
581	142439	102301
582	142773	102121
583	143085	101924
584	143363	101702
585	143666	101498
586	143923	101261
587	144209	101044
588	144517	100843
589	144780	100610
590	145056	100386
591	145337	100164
592	145639	99958
593	145985	99781
594	146287	99574
595	146564	99349
596	146842	99124
597	147173	98936
598	147449	98709
599	147732	98488
600	148073	98304
601	148387	98103
602	148694	97896
603	148768	97537
604	148886	97206
605	149180	96992
606	149484	96783
607	149771	96563
608	150143	96397
609	150512	96229
610	150811	96016
611	151118	95807
612	151423	95596
613	151731	95387
614	151847	95059
615	151932	94711
616	152269	94520
617	152548	94293
618	152841	94075
619	153173	93880
620	153495	93679
621	153778	93453
622	154031	93210
623	154313	92983
624	154591	92754
625	154936	92565
626	155253	92359
627	155550	92141
628	155860	91930
629	156136	91699
630	156444	91486
631	156835	91322
632	157107	91087
633	157388	90858
634	157713	90654
635	158024	90441
636	158321	90221
637	158585	89981
638	158882	89759
639	159201	89550
640	159542	89353
641	159728	89069
642	159998	88832
643	160283	88603
644	160628	88407
645	160945	88196
646	161257	87981
647	161558	87760
648	161836	87526
649	162115	87292
650	162436	87082
651	162707	86843
652	163002	86618
653	163286	86386
654	163551	86145
655	163828	85909
656	164133	85689
657	164433	85465
658	164702	85225
659	164976	84987
660	165268	84759
661	165570	84536
662	165851	84301
663	166113	84057
664	166397	83824
665	166685	83592
666	166990	83370
667	167279	83138
668	167548	82897
669	167853	82674
670	168189	82465
671	168484	82236
672	168770	82002
673	169057	81769
674	169365	81546
675	169625	81299
676	169903	81061
677	170195	80830
678	170466	80588
679	170747	80351
680	171021	80111
681	171344	79893
682	171660	79672
683	171987	79456
684	172308	79236
685	172619	79012
686	172888	78768
687	173195	78542
688	173472	78301
689	173790	78079
690	174126	77865
691	174410	77627
692	174770	77423
693	175097	77204
694	175405	76976
695	175719	76751
696	176024	76521
697	176300	76279
698	176594	76044
699	176891	75810
700	177205	75584
701	177484	75342
702	177771	75104
703	178044	74859
704	178350	74629
705	178636	74389
706	178928	74153
707	179272	73937
708	179569	73702
709	179865	73466
710	180171	73234
711	180458	72994
712	180753	72757
713	181035	72515
714	181347	72285
715	181639	72046
716	181922	71805
717	182218	71567
718	182487	71319
719	182766	71075
720	183062	70838
721	183380	70609
722	183711	70384
723	184003	70145
724	184283	69900
725	184549	69651
726	184805	69397
727	185091	69155
728	185377	68912
729	185665	68670
730	185949	68427
731	186219	68178
732	186514	67938
733	186798	67695
734	187088	67453
735	187368	67208
736	187650	66963
737	187945	66723
738	188214	66473
739	188510	66233
740	188806	65993
741	189103	65752
742	189413	65517
743	189728	65283
744	190060	65054
745	190351	64811
746	190665	64576
747	190958	64333
748	191263	64095
749	191598	63866
750	191912	63630
751	192268	63407
752	192575	63168
753	192871	62926
754	193214	62698
755	193534	62463
756	193883	62237
757	194213	62004
758	194522	61765
759	194811	61519
760	195097	61272
761	195387	61026
762	195682	60782
763	195981	60538
764	196268	60291
765	196555	60044
766	196805	59785
767	197109	59543
768	197389	59293
769	197652	59039
770	197942	58792
771	198225	58543
772	198499	58291
773	198773	58039
774	199063	57792
775	199371	57550
776	199640	57297
777	199932	57050
778	200229	56804
779	200504	56552
780	200843	56318
781	201126	56068
782	201454	55830
783	201726	55577
784	202009	55327
785	202229	55059
786	202497	54805
787	202780	54555
788	203059	54303
789	203351	54055
790	203673	53815
791	203961	53565
792	204250	53316
793	204538	53066
794	204818	52814
795	205125	52569
796	205419	52321
797	205726	52076
798	206024	51828
799	206322	51580
800	206576	51321
801	206868	51072
802	207171	50825
803	207457	50574
804	207737	50321
805	208037	50073
806	208359	49830
807	208694	49590
808	208938	49329
809	209208	49073
810	209518	48827
811	209817	48578
812	210090	48323
813	210385	48073
814	210681	47823
815	210993	47576
816	211284	47325
817	211542	47066
818	211820	46812
819	212076	46553
820	212386	46306
821	212709	46061
822	213024	45814
823	213360	45572
824	213690	45328
825	213973	45074
826	214254	44819
827	214551	44568
828	214879	44323
829	215209	44079
830	215518	43829
831	215804	43575
832	216062	43316
833	216351	43062
834	216507	42782
835	216667	42504
836	216962	42251
837	217280	42004
838	217570	41750
839	217886	41502
840	218142	41242
841	218452	40992
842	218771	40743
843	219035	40485
844	219320	40230
845	219640	39981
846	219920	39725
847	220207	39471
848	220525	39221
849	220601	38929
850	220882	38673
851	221191	38422
852	221506	38172
853	221791	37917
854	222085	37663
855	222378	37409
856	222641	37150
857	222941	36897
858	223217	36639
859	223541	36390
860	223881	36143
861	224184	35890
862	224479	35635
863	224763	35379
864	225089	35129
865	225420	34880
866	225728	34627
867	226071	34379
868	226356	34122
869	226661	33868
870	226942	33611
871	227267	33360
872	227540	33101
873	227710	32827
874	228010	32572
875	228297	32316
876	228580	32058
877	228876	31802
878	229161	31545
879	229221	31257
880	229542	31005
881	229855	30751
882	230167	30497
883	230461	30241
884	230765	29986
885	231034	29726
886	231345	29472
887	231408	29186
888	231667	28925
889	231954	28668
890	232264	28413
891	232591	28161
892	232868	27902
893	232922	27617
894	233220	27361
895	233542	27107
896	233878	26855
897	234189	26600
898	234506	26346
899	234767	26085
900	234850	25804
901	235162	25549
902	235468	25294
903	235736	25033
904	236002	24773
905	236298	24516
906	236579	24257
907	236843	23997
908	237117	23737
909	237360	23475
910	237639	23216
911	237918	22957
912	238206	22698
913	238510	22441
914	238827	22186
915	239107	21926
916	239406	21669
917	239591	21401
918	239863	21141
919	240150	20882
920	240406	20621
921	240598	20354
922	240879	20095
923	241136	19833
924	241454	19577
925	241793	19322
926	242092	19064
927	242399	18806
928	242735	18551
929	243059	18294
930	243372	18037
931	243646	17776
932	243966	17519
933	244290	17262
934	244618	17005
935	244896	16745
936	245269	16490
937	245575	16232
938	245879	15972
939	246202	15715
940	246540	15457
941	246850	15198
942	247130	14937
943	247210	14665
944	247532	14406
945	247846	14147
946	248155	13888
947	248434	13627
948	248751	13368
949	249083	13109
950	249402	12850
951	249741	12592
952	250067	12332
953	250375	12072
954	250684	11812
955	251009	11552
956	251354	11293
957	251691	11034
958	252026	10774
959	252360	10515
960	252650	10253
961	253010	9994
962	253317	9732
963	253652	9472
964	253982	9211
965	254314	8951
966	254660	8690
967	254951	8428
968	255238	8165
969	255593	7904
970	255857	7641
971	256174	7379
972	256502	7117
973	256852	6856
974	257194	6594
975	257506	6332
976	257825	6069
977	258169	5807
978	258471	5544
979	258768	5280
980	259128	5018
981	259476	4756
982	259783	4492
983	260080	4228
984	260387	3965
985	260662	3701
986	261014	3437
987	261312	3173
988	261609	2909
989	261941	2645
990	262259	2381
991	262569	2117
992	262921	1853
993	263219	1588
994	263526	1324
995	263870	1059
996	264190	794
997	264490	530
998	264769	265
999	265096	0
